time (UTC),latitude (degrees_north),longitude (degrees_east),TEMP_SBE37_MEAN (degree_C)
2021-08-01 21:25:00+00:00,19.3468528,-65.4088832,28.6992
2021-08-01 21:30:00+00:00,19.3476768,-65.4090624,28.7071
2021-08-01 21:35:00+00:00,19.3483936,-65.409184,28.7484
2021-08-01 21:40:00+00:00,19.34904,-65.4093312,28.7295
2021-08-01 21:45:00+00:00,19.3496928,-65.4094784,28.7154
2021-08-01 21:50:00+00:00,19.3503904,-65.409664,28.6838
2021-08-01 21:55:00+00:00,19.3510736,-65.409856,28.6255
2021-08-01 22:00:00+00:00,19.3518288,-65.4100288,28.6146
2021-08-01 22:05:00+00:00,19.3528384,-65.41024,28.6262
2021-08-01 22:10:00+00:00,19.353552,-65.4103296,28.6341
2021-08-01 22:15:00+00:00,19.3542432,-65.4105408,28.6396
2021-08-01 22:20:00+00:00,19.3549456,-65.4107456,28.6515
2021-08-01 22:25:00+00:00,19.3556992,-65.4108736,28.6273
2021-08-01 22:30:00+00:00,19.356576,-65.4110336,28.6105
2021-08-01 22:35:00+00:00,19.3573232,-65.4112512,28.5833
2021-08-01 22:40:00+00:00,19.358128,-65.4114176,28.583
2021-08-01 22:45:00+00:00,19.3588672,-65.4116416,28.5876
2021-08-01 22:50:00+00:00,19.3594752,-65.41184,28.5875
2021-08-01 22:55:00+00:00,19.3602528,-65.4120512,28.5691
2021-08-01 23:00:00+00:00,19.361136,-65.4123136,28.5692
2021-08-01 23:05:00+00:00,19.3618976,-65.4125568,28.5591
2021-08-01 23:10:00+00:00,19.3627712,-65.4127744,28.5552
2021-08-01 23:15:00+00:00,19.3633344,-65.4129856,28.5535
2021-08-01 23:20:00+00:00,19.3640208,-65.4132096,28.5951
2021-08-01 23:25:00+00:00,19.3647472,-65.4134592,28.6119
2021-08-01 23:30:00+00:00,19.3652512,-65.4137984,28.585
2021-08-01 23:35:00+00:00,19.3660896,-65.4140608,28.5706
2021-08-01 23:40:00+00:00,19.3668752,-65.4142336,28.582
2021-08-01 23:45:00+00:00,19.3676384,-65.4145152,28.5635
2021-08-01 23:50:00+00:00,19.3682048,-65.4147648,28.5423
2021-08-01 23:55:00+00:00,19.3688144,-65.4150208,28.5278
2021-08-02 00:00:00+00:00,19.3692912,-65.4152832,28.5295
2021-08-02 00:05:00+00:00,19.3698496,-65.4155008,28.5221
2021-08-02 00:10:00+00:00,19.3702128,-65.4157632,28.5111
2021-08-02 00:15:00+00:00,19.3706704,-65.4160256,28.498
2021-08-02 00:20:00+00:00,19.3710784,-65.41632,28.4925
2021-08-02 00:25:00+00:00,19.3713552,-65.41664,28.4872
2021-08-02 00:30:00+00:00,19.371784,-65.4169472,28.4835
2021-08-02 00:35:00+00:00,19.3721872,-65.4171648,28.4803
2021-08-02 00:40:00+00:00,19.372536,-65.4174144,28.4773
2021-08-02 00:45:00+00:00,19.3729696,-65.417696,28.4856
2021-08-02 00:50:00+00:00,19.3737072,-65.4179328,28.4971
2021-08-02 00:55:00+00:00,19.3743632,-65.418272,28.532
2021-08-02 01:00:00+00:00,19.3747792,-65.4185984,28.5659
2021-08-02 01:05:00+00:00,19.3754256,-65.418976,28.5856
2021-08-02 01:10:00+00:00,19.3758672,-65.4193216,28.5881
2021-08-02 01:15:00+00:00,19.3765024,-65.4197056,28.5586
2021-08-02 01:20:00+00:00,19.3771968,-65.4200448,28.5528
2021-08-02 01:25:00+00:00,19.3776336,-65.4203648,28.5471
2021-08-02 01:30:00+00:00,19.3781648,-65.4206912,28.5147
2021-08-02 01:35:00+00:00,19.3785536,-65.421088,28.5115
2021-08-02 01:40:00+00:00,19.3791216,-65.4214144,28.5011
2021-08-02 01:45:00+00:00,19.3795744,-65.42176,28.4872
2021-08-02 01:50:00+00:00,19.3801072,-65.4221504,28.4921
2021-08-02 01:55:00+00:00,19.3807712,-65.4225024,28.4865
2021-08-02 02:00:00+00:00,19.3812208,-65.4228864,28.4774
2021-08-02 02:05:00+00:00,19.3815728,-65.4233216,28.4687
2021-08-02 02:10:00+00:00,19.3815344,-65.4237824,28.464
2021-08-02 02:15:00+00:00,19.3816496,-65.4242624,28.4598
2021-08-02 02:20:00+00:00,19.3818864,-65.4246976,28.4517
2021-08-02 02:25:00+00:00,19.3820448,-65.425088,28.4596
2021-08-02 02:30:00+00:00,19.3822816,-65.4255936,28.4664
2021-08-02 02:35:00+00:00,19.3823664,-65.42608,28.4686
2021-08-02 02:40:00+00:00,19.3827184,-65.4265088,28.4641
2021-08-02 02:45:00+00:00,19.38296,-65.4270144,28.4606
2021-08-02 02:50:00+00:00,19.3831936,-65.4275456,28.454
2021-08-02 02:55:00+00:00,19.3835104,-65.4280896,28.4379
2021-08-02 03:00:00+00:00,19.3837824,-65.4286016,28.4428
2021-08-02 03:05:00+00:00,19.3839232,-65.4291264,28.4323
2021-08-02 03:10:00+00:00,19.3840624,-65.4296704,28.4398
2021-08-02 03:15:00+00:00,19.3843392,-65.430208,28.4312
2021-08-02 03:20:00+00:00,19.384432,-65.430752,28.4279
2021-08-02 03:25:00+00:00,19.3846496,-65.4312128,28.4246
2021-08-02 03:30:00+00:00,19.3848224,-65.4316992,28.4236
2021-08-02 03:35:00+00:00,19.385016,-65.4321792,28.4179
2021-08-02 03:40:00+00:00,19.3853456,-65.4325952,28.425
2021-08-02 03:45:00+00:00,19.3850912,-65.4331136,28.4203
2021-08-02 03:50:00+00:00,19.3849568,-65.4336896,28.4225
2021-08-02 03:55:00+00:00,19.3853584,-65.4341824,28.4266
2021-08-02 04:00:00+00:00,19.385688,-65.4346304,28.4219
2021-08-02 04:05:00+00:00,19.3859536,-65.435136,28.4256
2021-08-02 04:10:00+00:00,19.3864224,-65.435552,28.4195
2021-08-02 04:15:00+00:00,19.3868256,-65.436,28.4221
2021-08-02 04:20:00+00:00,19.3871696,-65.4364544,28.4212
2021-08-02 04:25:00+00:00,19.387472,-65.4369088,28.4282
