"basisOfRecord","organismID","eventDate","occurrenceID","decimalLatitude","decimalLongitude","geodeticDatum","scientificName","scientificNameId","eventID","kingdom","taxonRank","coordinateUncertaintyInMeters"
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T09:01:28Z","2020-02-01T09:01:28Z_0_Species",41.3918,-70.0179,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",254
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T11:54:12Z","2020-02-01T11:54:12Z_0_Species",41.3934,-70.0272,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2312
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T13:07:53Z","2020-02-01T13:07:53Z_0_Species",41.3565,-70.0529,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",213
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T13:09:26Z","2020-02-01T13:09:26Z_0_Species",41.3642,-70.051,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",275
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T13:29:38Z","2020-02-01T13:29:38Z_0_Species",41.3612,-70.0475,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",3569
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T13:31:29Z","2020-02-01T13:31:29Z_0_Species",41.3564,-70.051,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2078
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T14:22:07Z","2020-02-01T14:22:07Z_0_Species",41.3507,-70.0578,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",1492
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T14:49:13Z","2020-02-01T14:49:13Z_0_Species",41.349,-70.0592,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",1798
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T16:28:45Z","2020-02-01T16:28:45Z_0_Species",41.3383,-70.0713,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2527
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T19:25:12Z","2020-02-01T19:25:12Z_0_Species",41.319,-70.0901,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",4210
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T21:00:05Z","2020-02-01T21:00:05Z_0_Species",41.3173,-70.0901,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",105791
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T22:44:39Z","2020-02-01T22:44:39Z_0_Species",41.3072,-70.1132,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",7976
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T23:13:49Z","2020-02-01T23:13:49Z_0_Species",41.3223,-70.1066,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",148542
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-01T23:19:16Z","2020-02-01T23:19:16Z_0_Species",41.3217,-70.1068,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",30547
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T00:24:30Z","2020-02-02T00:24:30Z_0_Species",41.319,-70.1027,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",7087
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T00:33:56Z","2020-02-02T00:33:56Z_0_Species",41.3228,-70.0979,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",6856
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T00:53:58Z","2020-02-02T00:53:58Z_0_Species",41.3337,-70.053,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",7914
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T00:53:58Z","2020-02-02T00:53:58Z_0_Species",41.3271,-70.063,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",18620
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T02:04:44Z","2020-02-02T02:04:44Z_0_Species",41.34,-70.0491,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",10831
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T02:13:59Z","2020-02-02T02:13:59Z_0_Species",41.3486,-70.0461,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",287
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T02:33:33Z","2020-02-02T02:33:33Z_0_Species",41.3497,-70.0403,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",267
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T08:34:18Z","2020-02-02T08:34:18Z_0_Species",41.374,-70.0257,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",674
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T09:23:59Z","2020-02-02T09:23:59Z_0_Species",41.3723,-70.0298,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",1357
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T10:06:42Z","2020-02-02T10:06:42Z_0_Species",41.3816,-70.0375,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",6872
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T12:43:05Z","2020-02-02T12:43:05Z_0_Species",41.3842,-70.0604,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2752
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T12:51:16Z","2020-02-02T12:51:16Z_0_Species",41.3822,-70.0541,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",22782
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T13:00:26Z","2020-02-02T13:00:26Z_0_Species",41.3783,-70.0579,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",5712
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T13:04:45Z","2020-02-02T13:04:45Z_0_Species",41.347,-70.0708,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",1419
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T13:10:02Z","2020-02-02T13:10:02Z_0_Species",41.3444,-70.073,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2851
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T14:32:23Z","2020-02-02T14:32:23Z_0_Species",41.3425,-70.0656,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2432
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T14:32:23Z","2020-02-02T14:32:23Z_0_Species",41.3406,-70.0657,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2773
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T20:56:37Z","2020-02-02T20:56:37Z_0_Species",41.3685,-70.0931,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",260
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-02T22:45:27Z","2020-02-02T22:45:27Z_0_Species",41.3734,-70.1012,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2333
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T00:01:49Z","2020-02-03T00:01:49Z_0_Species",41.3718,-70.1076,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",2402
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T00:12:10Z","2020-02-03T00:12:10Z_0_Species",41.386,-70.1258,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",12328
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T00:34:04Z","2020-02-03T00:34:04Z_0_Species",41.3842,-70.138,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",6795
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T01:19:23Z","2020-02-03T01:19:23Z_0_Species",41.3848,-70.1417,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",1906
"machineObservation","5e32f4e46321be14905ea848_grey seal","2020-02-03T01:42:58Z","2020-02-03T01:42:58Z_0_Species",41.3775,-70.1648,"EPSG:4326","Halichoerus grypus","urn:lsid:marinespecies.org:taxname:137080","48291772-a7b1-48f0-a428-b0110f97f59e","Animalia","Species",1054
